data,refeicao,alimentos,calorias_estimadas,observacoes
2025-10-21,Café da manhã,Ovos mexidos + pão integral + café sem açúcar,450,Boa saciedade
2025-10-21,Almoço,Arroz integral + frango grelhado + salada + azeite,650,Refeição equilibrada
2025-10-21,Lanche,Iogurte natural + banana + whey protein,350,Fome moderada antes do treino
2025-10-21,Jantar,Omelete + legumes salteados,400,Jantar leve

2025-10-22,Café da manhã,Vitamína de banana com aveia e whey,500,Boa energia
2025-10-22,Almoço,Arroz branco + carne moída + feijão + salada,750,Porção maior que o planejado
2025-10-22,Lanche,Barra de proteína,200,Sem observações
2025-10-22,Jantar,Pizza (2 fatias),600,Refeição fora do plano

2025-10-23,Café da manhã,Ovos + tapioca + café,480,Boa saciedade
2025-10-23,Almoço,Frango grelhado + purê de batata + salada,620,Refeição adequada
2025-10-23,Lanche,Mix de castanhas,250,Controlado
2025-10-23,Jantar,Peixe grelhado + legumes,420,Jantar equilibrado
